Id,Category,Text
104,1,"los weyes ni tantita madre tienen. Una vez un bro me fue a recoger en el carro DE SU NOVIA. Y yo así de ??? Déjame bajarme puto/
"
105,0,"[Noticia] Karen Bryson se suma a 'Justice League' como la madre de Cyborg
"
106,0,"Madres que te dejan en la cola sin dinero. La tensión aumenta cada vez que te acercas y tu madre sigue sin volver.🙃
"
107,0,"@USUARIO dejo al veracruzano con ""camote"" bueno. Salio picarona la chef. 🙈🙊
"
108,0,"@USUARIO Tan mal está la delincuencia que le robaron la memoria 😹😹. Gente tonta  no saben ni a que van
"
109,0,"Ni madres, si se quiere ir, que se vaya alv. A rogar a la Iglesia. No mereces miserias!!!
"
110,0,"La toma de fotos es este sábado :u !
"
111,1," @USUARIO @USUARIO @USUARIO Cállate tu infeliz gusana, lameculos de los gringos...
"
112,0,"RT si quieres ver la verga de este guapito... 😍🔥😈
"
113,1,"@USUARIO Y cuál es el problema wey??? ... La selección es de todos inche mamón...vives de hacer polémica por todo , chinga tu madre
"
114,0,"@USUARIO Buenos diaaas☔☔ a toda madre......que siga lloviendo
"
115,1,"Las buenas noches se dan, no se arruinan, hijo de tu puta madre.
"
116,0,"La 3ra y última parte de esta rica cogidota!! Dale RT si aguantas el dolor de una verga mezclado con placer 🤤🤤🤤
"
117,0,"Todos hablan de los cerdos que comen huevo con catsup, pero nadie menciona a los putos asquerosos que le echan valentina a su sincronizada
"
118,0,"Tan pinches feas series que se pasan reimprimiendo en México y en E.U. es la mejor época para las reediciones de clásicos.
"
119,0,"Mi amor pasándola muy rico con nuestro single! #putita #hotwife #nochedetrios
"
120,0,"Aaaaaah No si esta de la verga que llueva todo el día.
"
121,0,"Ya sigue me Atl!! Me vas a volver Loca!! Follow me?
"
122,0,"Chingas tú, chingo yo. Chinga tu madre.
"
123,0,"Abron! El sur es de lo peor en cómida y más putas careros! No conocen las órdenes es taco x taco
"
124,1,"@USUARIO 10m.... Jajaja!. Esperando acá en mixcoac ya más de 1 hora. Como siempre, los chóferes saltándose calles. Que hdp
"
125,0,"Perdón por no saber decirle que no a esta mujer. La loca más loca de todas las locas.
"
126,0,"Tenía una cita con mi doctor, pero la tuve que cancelar porque me enferme. Vale madre.😔
"
127,1,"Pinche tan joto, por qué no le hablaste?? Eres bien pendejo!! 😅
"
128,1,"En serio me siento de la súper chingada. Putos vecinos.
"
129,0,"@USUARIO Y que estoy viendo la serie de Lupe D'Alessio. Y sus pelucas son muy feas y tristes.
"
130,1,"Respecto a lo de Eduardo Yáñez, el reportero podrá demandar y hasta ganar, pero lo marica para no responderle lo acompañará toda su vida.
"
131,1,"Seas mamón pinshe Maty ,ya con ir vestido así de ridículo a trabajar es motivo de ponerle unos vergazos
"
132,0,"Coger rico gusta pero que se los trague enamora 😍 #Gay #Cruising #BigCum #GayCDMX
"
133,0,"Creo que le voy a volver a poner cuerdas a la guitarra y me voy a poner a componer las piezas sencillas y feas que soy capaz de componer.
"
134,0,"@USUARIO Jajaja ya sabes muy luchona😌☝🏼
"
135,0,"@USUARIO Pues con tu cara podría ser cualquier mujer.
"
136,0,"hoy es un buen día para votar en soribadA LA PUTISIMA MADRE VAMOS VOTA CTM ahre
"
137,0,"Cada viernes de luchona y cabrona #TeLlamarePara visitarte abuela.
"
138,0,"Ése día to2 nos partimos de risa porque fué el único que se salió de la housen de mi madre JSJAJAJAJJAJAJJAJAJAJAJAJAJAJJAJAJAJAJAJAJAJHA
"
139,0,"Neta, odio que me despierten porque no puedo dormirme de nuevo! Me caga!!! Ahora voy andar de malas todo el puto día.
"
140,0,"Esperar algo de políticos y más priístas ya valió supe verga
"
141,1,"Me toco escuchar como mando a la chingada a la vieja que hacía que muriera de celos. Y la cual me nego que no tenía nada con ella.
"
142,0,"VERGA PARA LA BANDA  🍆🍆💗 DALE  RT  y siganme 👍⚽⚽
"
143,0,"Señor ya deje de chuparse los putos dientes o lo que sea que esté haciendo, se escucha en todo el restaurant no mame
"
144,1,"Chingas a tu simia y puta madre negro pendejo, para que dejen de tirarse como putas tus maricas seleccionados!!!
"
145,1,"Porque no piel canela tienes pinche prieta. 😒🤣
"
146,0,"Personas que cada que regresan, alteran y vuelven loca tu vida tranquila y relajada.
"
147,1,"@USUARIO Vivís en 2 lugares ?  Venís con la custodia del contry puto refugiado
"
148,0,"Coño e su madre cuando pierdo los cambios hechos en el trabajo,...... Mierdaa puta tecnología
"
149,0,"@USUARIO Es la mejor, es mujer, es luchona, es hija, es novia, es abogada, es mi vieja chingaoooo jajaja…
"
150,0,"¿Cómo sé que ya va a hacer frío? Los mosquitos están más putos locos que de costumbre. Saben que no tardan en chingar a su madre.
"
151,1,"No lleves a tu vieja que te sale lo joto JAJAJAJA
"
152,1,"Porque no les creo, feos culiaos, que a todo el mundo lo haya cagado un taxista.
"
153,0,"algún activo de la cdmx que me quiera dar bien rico? Soy #pasiva #putita y me encanta vestirme como golfa
"
154,0," -Todas son putas hasta que demuestran lo contrario...  ¿Quién fue el autor de esa gran mentira?🤗
"
155,1,"@USUARIO chinga tu madre ratero de mierda. Eres un vulgar populista retrógrado
"
156,1,"todos putos por no desaforar a Tarek, el miedo no anda en burro....todos son un asco!!!!
"
157,0,"@USUARIO @USUARIO @USUARIO Pero el camote no engorga... Bueno en ocasiones si😂
"
158,0,"La banca en México esta viendo la propuesta de regular esta moneda para comenzar a invertir en ella. Va a subir su cotización PERO CABRON.
"
159,1,"A me dejaste en seen?  - Pues seenga tu madre
"
160,0,"Putas canciones que se convierten en la máquina del tiempo.
"
161,0,"Ha sabido liderar a un gpo que a pesar de las cosas feas, lo ha manejado muy bien y sigue siendo  un muy buen lider  #SuhoTheBestLeader
"
162,0,"Estoy loca por los gatos #Ilovecats #cats #gatos 😍😻❤
"
163,0,"Con esa cinturita y culito empinado cualquier Activo se da su buena atascada con estos culos jejejeje
"
164,1,"No me he relacionado con muchas personas y como me cala que me recuerden a 2 ciertas morras porque alch están feas y se burlan de mí:(
"
165,0,"Se la pasan mamando verga con que en medicina está lo ""mejor"" de la Universidad, pero no son más que mentiras.
"
166,0,"No, señora, tomarle fotos encuerado a un joto y después cogértelo no te hace fotógrafo.
"
167,1,"Te estás mamando villalord, te estas mamandooooooooooooooooo *se sale del grupo de whats*
"
168,1,"Jajajajaja mejor que vaya a prohibir a su casa a los deportistas q los deje empaz. Vieja loca
"
169,0,"Mmmta, pues no veo ni por qué tendrían, no te he visto ni chancear una sola vez, nada que ver, gente loca.
"
170,0,"De haber sabido que iba a incomodar y que significaba mas lo que hiciera cualquier pelado no hago ni putas madres, puros pinches corajes!!!
"
171,0,"Esta semana me espera estrés, llanto, enojo, desesperación, y resignación. Putos exámenes, muéranse mejor.
"
172,1,"pinche marica !! Te he de ver en el WhatsApp !! jajajaja
"
173,0,"A mí no me gusta compartir estos rollos como si fuera chistoso. Siento que perpetúa un discurso misogynist-oriented…
"
174,0," @USUARIO Jajajaja no mames, estás cabrona woe!
"
175,1,"No mames pendejo!! Con eso no se juega pinche lobo puñetero!! BALES BERGA!!
"
176,0," @USUARIO Cuando eres hermana, hija, madre, padre, abuel@ amig@ tóxica y luchona a la vez...
"
177,0,"Cualquiera en su sano juicio, de habria vuelta loca por ti 💜😍😘…
"
178,1,"Pinches modas puro maldito pantalón skyny para puro hemo marica maldita sea !!!!
"
179,0,"Estoy cagada de miedo pero si todo sale chingon, les invito whisky, coca y putas
"
180,1,"Deja de mamar putito y cuando no les vendieron ustds boletos en la final a las gallinas no estabas chillando
"
181,0,"Mi madre me abrazó y fue hermoso..quiero más abrazos
"
182,0,"Me acabo de dar cuenta que las personas feas se juntan con personas igual de feas…
"
183,0,"Adivinen quien mariquita estaba viendo parte del 7/27 tour Barcelona del 14/10/16 y termino llorando.. si esta mariquita 😭😭😭😭
"
184,0,"¿Apoco si me veo bien loca si le digo que hoy cumplimos un mes de conocernos? ❤️
"
185,0,"@USUARIO Yo si y no es prieta ni prietita, totalmente clara
"
186,0," ""Que ustedes se pesquen de la verga de un mosquito para ofenderse es otra cosa 🙄"".  Frase célebre de @USUARIO en una camiseta que diga.
"
187,0,"Lo necesito !!!! No me puedo decir gorda profesional si no tengo unoooo
"
188,1,"Mira compa a ti que te valga verga si esos putos no pueden hacer lo que tú deja que les arda la envidia
"
189,1,"HASTA NUNCA PUTOS CHILENOS, A VIVIR DEL 7-0 Y A LA CAMITA A VER EL MUNDIAL A MAMAR BORRACHO @USUARIO
"
190,1,"Como el maricon me cogio pero se la cague el consuelo del maricon
"
191,0,"Ahora sí sentí que valía verga y nos asaltaban, necesito diez bolillos ""para el susto"".
"
192,0,"creo yo que,mala madre no he sido.
"
193,0,"Ahí les hablan a los putos que basan su vida en WhatsApp 😂😂😂
"
194,1,"Que bien te ves con esos filtros, hasta pareces albina ¡Hija de tu puta madre prieta!
"
195,1,"Atención @USUARIO aquí viven los #HDP que nos asaltaron en un taxi a mis amigos y a mí, prendieron mi iPhone. 
"
196,0,"A los rojos y a los azules les van a mentar la madre hasta para llevar #MasterChefMx
"
197,0,"Igual que tu te lucras de las mierdas de wismichu metiendo 20 putos anuncion en el video. Venga no me jodas
"
198,0,"@USUARIO LIKE si valiste madre en tu primer día de clases y prefieres un sugar daddy @USUARIO jajaa
"
199,1,"@USUARIO @USUARIO @USUARIO Jajajaja ""tu mamá"" aparte de luchona, naca y americanista ocurrente la putita
"
200,0,"neta que es una gran cosa hacer  todas las tonalidades con la boca y esos tres putos botones. Inténtale.
"
201,0,"Acaso como ciudadano no estás hasta la madre de escuchar de fraudes, saqueos, corrupción y violencia que vive México?
"
202,0," @USUARIO @USUARIO La pobreza es cabrona, mai frend, no es por mala onda. Yo nomás me compré ese libro. Hahahaha .
"
203,0," @USUARIO Uff Palenque se pone cabron ahí disfruta, yo el viernes a ver qué tal está.
"
204,0,"ando bien caliente solo de imaginar que me como tus labios #sex #verga #zac
"
205,0,"Neh está de la verga! Mejor mándame a Mia Khalifa gg
"
206,0,"Confieso que últimamente me vale verga todo.😔 #NocheDeConfesiones
"
207,0,"Me choca estar en mis lady days y sentirme como señora gorda de mercado sude y sude y siempre con un papel para usarlo como abanico.
"
208,0,"ustedes son los que provocan el pinche desmadre si ya cierran y no avanzan para que putas vuelven a abrir las puertas #LB
"
209,0,"Ese momento en el que juegas y debes hacer una elección de esas feas Los odio 2k!!!!
"
210,0,"Ayer conocí a una chica que se llama Vida y lo único que puedo pensar es en lo cagado que será cuando muera.
"
211,1,"Deja de mamar, pinche vieja meca !!! (Este Twit hubiera estado perron hace 5 horas :/ ni pedo)
"
212,0,"Las bonitas somos solteras por decisión propia, las feas pues por FEAS.
"
213,0,"No se pasen de verga! Jajajajaja  Quién putas escucha: ""🎶Hey tú muchacha.. linda .. ven dame...un beso 🎶"" Me cagué de la risa 😂😂😂😂😂
"
214,0,"Si pero no se quejan de que no los apoyaran, solo les dicen putos es todo
"
215,0,"Ya vimos Coco. Sí es una maravilla de película. No lloramos pero nos dieron ganas...y lo mejor, no vimos el puto corto de Frozen.
"
216,0,"NO TE PASES DE VERGA SI APARECE TWISTY EL PAYASO 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 #AHSCult
"
217,1,"Tantita madre @USUARIO 🤦🏻‍♂️ las de México están mejor hechas y más baratas 🖕🏼
"
218,0,"Gorda nivel: va a tragar tamales al gym.
"
219,0,"Ando que me lleva la verga literalmente #Morritocoyotero
"
220,0,"Si te encuentro así en la noche si te la ando mamando rico jejeje
"
221,0,"#YoNoPuedoEvitarQue insulte a los que no ponen sus putas direccionales.
"
222,0," @USUARIO Alguien puso un post muy pendejo en feis y escribió #mongoface y la neta se me hizo cagado, soy muy simple.
"
223,0," @USUARIO No me gusta ese rectángulo hacia abajo que se ve en el medio del kit es como una tipo de arruga o no se, en 360 no se ve eso
"
224,0,"Amigos, tienen que leer esta puercada, está muy pasada de verga
"
225,1,"Si te tienes a ti mismo de fondo de pantalla eres lo que le sigue de joto
"
226,0,"Sueño con el día en que… ¡ah, no mames! ¡Verga! ¡Verga! ¡Es hoy!
"
227,0,"Si no te suma, que se vaya a la resta!!! Digo, verga.
"
228,1,"Ya saquen a esta pinche vieja ya cae bien gorda con sus payasadas, parece prostituta
"
229,0,"Chiste, chiste... Cuál el el colmo de un joto? Andar con un mecánico, y que le truene la reversa... #haypiores
"
230,1,"Ahora en la noche tocará ver perder a los putos Yankees.
"
231,0,"Como diría el Ezequiel a mí me vale verga, porque todos me pelan la verga, alv :v
"
232,0," @USUARIO Disculpeme pero las buenas noches a tu lado son feas tu eres la hermosa con esos obos que parecen estrellas y esa carita que parece laluna
"
233,0,"Su pinshe madre está cabrona la inundación me tocará dormir aquí en la gasolinera
"
234,0,"Amigos y conocidos se la viven en la peduki loca y uno que ya dejó el alcohol por la paz :v
"
235,0,"no mamar!...ya le dieron la vuelta los @USUARIO a los @USUARIO #ThisTeamLA #EarnHistory #SerieMundial2017
"
236,0,"Se emputa cuando alguien le dice algo y para acabarla de chingsr azota todas las putas puertas de la alacena!!! Y le vale verga todo
"
237,0,"Bue, me voy a poner a hacer algo de mí vida igual no voy a cursar ni loca porque van a hablar del hippie y no quiero escuchar boludeces
"
238,1,"Ni una semana en operaciones y ya salió la gorda ridícula que propone ir disfrazados a la oficina en Halloween.
"
239,0,"Primera vez que me dan asueto el día de muertos y yo de viaje de trabajo no mamar
"
240,1,"Con ganas de decirle: siempre fui realista, a ti nunca te prometí nada, pendeja; si me fui de tu vida fue por que no sabes querer!😡😡😡🌋
"
241,0,"Qué horrible ser mujer y tener que vivir cuidándote de todos los hombres que se te cruzan.
"
242,0,"tenía rato que no veía a Bolillo tan feliz verga😭😭💞😍
"
243,0,"Le acaban de decir a mi mamá “está bien bonita tu hija ha de ser bien noviera” 🙄🙄🙄🙄 WTF gente
"
244,0,"Pues el diseño chido pero eso de ""dos mentes brillantes"", sí que te la mamaste compa…
"
245,1,"Viejas pendejas muchas , pero más con la que vivo me cae bien gorda 🙄
"
246,1,"Ahh que verga le vas a asegir chupando las bolas alos pateTICOS no son nada al lado de mexico wey!
"
247,0,"Osea de por si las putas universidades te roban de todos los modos posibles y ahora también la cédula sera tramite exclusivo para ellos.. 😞😒
"
248,0,"Mi madre siempre consintiendome.❤
"
249,0,"Ya chingo a su madre este pedo
"
250,0,"Solo voy a comprar el boleto de la TNT para ir por tu autografo y para reclamarte mis putos dulces que nunca me han llegado &gt;:v
"
251,0,"Ya no curaré tu soledad cuando duerma la ciudad. No estaré para oír tus historias tontas. 
"
252,0,"Me caga que mi enojo se convierta en llanto, que marica.
"
253,1,"Te voy a matar pinche maricon asqueroso @USUARIO Mejor ni pises el aeropuerto.
"
254,1," @USUARIO CLARO DESDE PUTOS NARCOPOLÍTICOS IGNORANTES PARA EMPEZAR LOS MAS RATAS Y CHAIROS ES LO PRIMERO QUE DEBEN DE SEÑALAR PENDEJO MEDIO VENDIDO
"
255,0,"Nos valió verga y no entramos a la clase del Oompa Loompa.
"
256,0,"Madres lo gorda que estoy
"
257,0,"A mi me gustan tragones 😍👌💜🍕🍲🍔 Que me den helado si me pongo loca 🍦
"
258,1,"INCREÍBLE... pasan los putos simios tercermundistas hondureños y EUA no va al mundial.  Solo tiran patadas y hacen tiempo, antifútbol.
"
259,0,"Es depresión o tal vez estrés pero neta no tengo idea de que putas traigo.
"
260,0,"Es gracioso cuando te das cuenta de que está intentando hablarte con excusas bien tontas como ""sabes para cuándo es la tarea?"" 😄
"
261,0,"Jaajjajaajajjajajajaajajjajajaajajajaja te pasas,voy a quedar loca de tanto bullyng psicólogo 🤣
"
262,0,"Ya que se acabe el @USUARIO soy un mar de lágrimas, no mamar. 🤧
"
263,0,"@USUARIO O MUERE AL VER A LA LUCHONA SOBRESALIR
"
264,0,"Al ver esa imagen de #Olicity juro q me descontrole terrible ... grite, flippee pero gra  culpa la tuvo una amiga q…
"
265,0,"No entiendo para que me decías: ""Cuídate mucho"" si al final fuiste tú quien me dio en toditita la madre.
"
266,0,"SOLO EL AMOR DE UNA MADRE APOYARA, CUANDO TODO EL MUNDO DEJA DE HACERLO.
"
267,0,"#EstamosUnidosMexicanos ya me hicieron llorar, putos!!!
"
268,1,"Me recai que si leyeras mis tweets te enamorarías más de mí, hija de la verga.
"
269,0,"Sabes que ya valió verga cuando los niños te dicen ""señora"".
"
270,1,"@USUARIO No tienen puta madre esos putos
"
271,0,"Se inundó bien cabrón por donde vivo y se me hizo súper tarde para el trabajo. :(
"
272,0,"La misma gata pero revolcada.
"
273,0,"A mí una vez me escribio en Grindr, supongo es fake...porque en caso sea gay no se me hace de los tipos…
"
274,0,"A veces me pregunto  por que estoy tan loca? Literal
"
275,0,"Cuando pongo un tema de #Skrillex, me siento como si estuviese en un antro lleno de putas, drogas y alcohol, siendo el rudo del trapeador.
"
276,1,"que asco de personas.... solo son unas RATAS que hablan a lo pendejo..... chingen a su madre los del pan y los que ya no son del pan PUTOS
"
277,0,"Una cosa es quererlo ver y otra es llevar tu sillita...no mamar!
"
278,1,"En el mismo en el que vas y chingas a toda tu puta madre.
"
279,0,"Estamos atorados en una pinche inundación en pinches Tultitlán. Vale madre.
"
280,1," @USUARIO Si este hijodeputa quiere ""ayudar"" , debería ser completamente invisible al hacerlo...igual que su bola de secretarios lameculos
"
281,0,"@USUARIO Super luchona y determinada, te confundes con facilidad, abierta a nuevas ideas, platillo favorito elotes, num de la suerte 1
"
282,0,"Le hacen mucho a la mamada si todo el partido no han jugado a nada, ya clasificaron y ya vale madre chavos
"
283,0,"Dejen de mamar con su puta ""marcha lenta"" está pendejada ni avanza 😒
"
